"Date","Price","Open","High","Low","Vol.","Change %"
"02/01/2023","10,907.51","10,275.45","10,925.75","10,206.98","","6.15%"
"01/01/2023","10,275.45","10,720.25","10,833.46","9,717.99","","-4.15%"
"12/01/2022","10,720.25","10,910.91","11,365.06","10,696.38","","-1.75%"
"11/01/2022","10,910.91","10,822.58","10,960.51","10,292.88","","0.82%"
"10/01/2022","10,822.58","11,613.11","11,782.26","10,715.72","","-6.81%"
"09/01/2022","11,613.11","12,128.72","12,267.30","11,548.23","","-4.25%"
"08/01/2022","12,128.72","11,818.46","12,231.82","11,796.27","","2.63%"
"07/01/2022","11,818.46","12,003.29","12,072.68","11,518.12","","-1.59%"
"06/01/2022","12,009.41","12,303.94","12,728.19","11,930.64","","-2.68%"
"05/01/2022","12,339.60","13,136.65","13,173.92","12,306.00","","-6.07%"
"04/01/2022","13,136.65","12,818.11","13,183.37","12,803.95","","2.49%"
"03/01/2022","12,818.11","13,071.04","13,186.82","12,353.78","","-1.94%"
"02/01/2022","13,071.04","13,883.49","14,012.64","12,899.88","","-5.85%"
"01/01/2022","13,883.49","13,358.32","13,887.85","13,269.36","","3.93%"
"12/01/2021","13,358.32","13,085.38","13,425.50","13,085.38","","2.09%"
"11/01/2021","13,085.38","13,555.45","13,667.12","13,041.59","","-3.47%"
"10/01/2021","13,555.45","13,186.83","13,650.09","13,046.16","","2.80%"
"09/01/2021","13,186.83","12,694.16","13,209.65","12,667.17","","3.88%"
"08/01/2021","12,694.16","12,304.15","12,791.93","12,304.15","","3.17%"
"07/01/2021","12,304.15","12,408.76","12,446.31","12,137.50","","-0.85%"
"06/01/2021","12,409.24","12,114.46","12,578.76","12,105.33","","2.43%"
"05/01/2021","12,114.46","11,784.63","12,260.05","11,784.63","","2.57%"
"04/01/2021","11,811.23","11,483.65","11,815.43","11,474.19","","2.85%"
"03/01/2021","11,483.65","11,358.17","11,583.28","11,309.91","","1.10%"
"02/01/2021","11,358.17","11,630.01","11,794.76","11,224.00","","-2.34%"
"01/01/2021","11,630.01","11,287.38","11,729.33","11,210.15","","3.04%"
"12/01/2020","11,287.38","10,990.85","11,595.16","10,939.68","","2.70%"
"11/01/2020","10,990.85","10,460.66","11,119.01","10,342.27","","5.07%"
"10/01/2020","10,460.66","9,985.48","10,489.55","9,985.45","","4.73%"
"09/01/2020","9,987.83","10,134.80","10,324.98","9,936.48","","-1.45%"
"08/01/2020","10,134.80","10,149.14","10,330.27","10,059.70","","-0.91%"
"07/01/2020","10,228.27","10,169.19","10,296.84","10,119.56","","0.58%"
"06/01/2020","10,169.19","9,852.80","10,636.51","9,852.80","","3.21%"
"05/01/2020","9,852.80","9,400.70","9,978.92","9,203.20","","4.81%"
"04/01/2020","9,400.70","9,704.85","9,717.96","8,993.23","","-3.13%"
"03/01/2020","9,704.85","12,260.94","12,268.94","8,916.12","","-20.85%"
"02/01/2020","12,260.94","12,531.90","12,531.90","11,997.78","","-2.16%"
"01/01/2020","12,531.90","12,171.90","12,655.84","12,076.77","","2.96%"
"12/01/2019","12,171.90","11,822.32","12,301.79","11,685.80","","2.96%"
"11/01/2019","11,822.32","11,484.30","11,840.80","11,473.51","","2.94%"
"10/01/2019","11,484.30","11,561.68","11,574.87","11,307.35","","-0.67%"
"09/01/2019","11,561.68","11,710.94","11,738.51","11,420.21","","-1.27%"
"08/01/2019","11,710.94","11,616.49","11,796.26","11,526.31","","0.81%"
"07/01/2019","11,616.49","11,286.18","11,616.49","11,100.48","","2.92%"
"06/01/2019","11,287.04","10,999.88","11,552.13","10,926.80","","2.61%"
"05/01/2019","10,999.88","11,192.06","11,430.08","10,999.88","","-1.72%"
"04/01/2019","11,192.06","10,912.23","11,201.92","10,882.38","","2.56%"
"03/01/2019","10,912.23","11,136.57","11,206.61","10,910.98","","-2.01%"
"02/01/2019","11,136.57","11,350.73","11,509.40","11,124.34","","-1.89%"
"01/01/2019","11,350.73","11,364.31","11,452.61","11,036.36","","-0.12%"
"12/01/2018","11,364.31","11,229.28","11,368.06","11,120.13","","1.20%"
"11/01/2018","11,229.28","10,919.67","11,316.03","10,874.77","","2.84%"
"10/01/2018","10,919.67","11,335.55","11,344.71","10,905.91","","-3.67%"
"09/01/2018","11,335.55","11,546.49","11,546.49","11,098.13","","-1.83%"
"08/01/2018","11,546.49","11,746.14","11,820.72","11,523.51","","-1.70%"
"07/01/2018","11,746.14","11,878.65","12,043.07","11,307.64","","-1.12%"
"06/01/2018","11,878.65","12,311.71","12,467.30","11,874.14","","-3.70%"
"05/01/2018","12,335.37","13,028.01","13,067.59","12,335.37","","-5.32%"
"04/01/2018","13,028.01","13,062.38","13,093.59","12,795.29","","-0.26%"
"03/01/2018","13,062.38","13,142.71","13,293.51","12,889.72","","-0.61%"
"02/01/2018","13,142.71","13,075.49","13,387.50","12,975.30","","0.51%"
"01/01/2018","13,075.49","12,388.82","13,110.13","12,372.18","","5.54%"
"12/01/2017","12,388.82","12,568.42","12,577.59","12,100.40","","-1.43%"
"11/01/2017","12,568.42","12,373.04","12,750.80","12,342.44","","1.58%"
"10/01/2017","12,373.04","12,140.47","12,522.57","12,107.16","","1.92%"
"09/01/2017","12,140.47","12,397.12","12,794.57","12,114.56","","-2.07%"
"08/01/2017","12,397.12","12,201.33","12,455.51","12,098.66","","1.60%"
"07/01/2017","12,201.33","12,015.84","12,414.42","11,988.42","","1.54%"
"06/01/2017","12,015.84","11,562.56","12,098.94","11,540.81","","3.78%"
"05/01/2017","11,577.96","11,637.93","11,879.09","11,493.70","","-0.52%"
"04/01/2017","11,637.93","11,379.71","11,644.51","11,210.12","","2.27%"
"03/01/2017","11,379.71","11,926.49","12,044.54","11,338.27","","-4.58%"
"02/01/2017","11,926.49","12,228.90","12,370.33","11,692.21","","-2.47%"
"01/01/2017","12,228.90","11,644.22","12,950.84","11,518.44","","5.02%"
"12/01/2016","11,644.22","10,568.19","11,930.94","10,564.49","","9.10%"
"11/01/2016","10,672.53","10,564.64","10,742.98","10,480.12","","1.02%"
"10/01/2016","10,564.64","10,039.14","10,587.48","10,020.09","","5.23%"
"09/01/2016","10,039.14","9,860.65","10,060.87","9,857.12","","1.81%"
"08/01/2016","9,860.77","9,882.20","9,996.85","9,852.28","","-0.22%"
"07/01/2016","9,882.20","9,505.98","9,944.99","9,457.48","","3.96%"
"06/01/2016","9,505.98","9,756.28","9,843.42","9,427.34","","-2.58%"
"05/01/2016","9,757.92","9,867.10","10,234.53","9,702.79","","-2.18%"
"04/01/2016","9,975.72","9,382.21","9,975.72","9,268.74","","6.94%"
"03/01/2016","9,327.98","8,908.54","9,624.74","8,892.85","","4.71%"
"02/01/2016","8,908.44","8,890.66","9,222.09","8,859.64","","0.11%"
"01/01/2016","8,898.99","8,918.89","8,931.24","8,803.58","","-0.30%"
"12/01/2015","8,925.71","9,085.12","9,116.88","8,789.89","","-1.84%"
"11/01/2015","9,093.21","9,073.76","9,309.51","9,044.11","","0.13%"
"10/01/2015","9,081.80","9,110.38","9,136.52","8,921.04","","-0.36%"
"09/01/2015","9,114.29","9,290.98","9,338.87","9,037.50","","-2.48%"
"08/01/2015","9,345.70","9,812.28","9,892.79","9,252.66","","-4.05%"
"07/01/2015","9,740.01","9,576.35","9,750.01","9,505.02","","1.69%"
"06/01/2015","9,578.34","9,708.62","9,737.31","9,481.63","","-1.37%"
"05/01/2015","9,711.36","9,925.82","10,002.57","9,533.61","","-2.27%"
"04/01/2015","9,937.38","10,255.84","10,268.08","9,854.58","","-3.24%"
"03/01/2015","10,269.75","10,434.34","10,547.66","10,256.73","","-1.82%"
"02/01/2015","10,460.62","10,203.91","10,481.97","10,138.68","","2.33%"
"01/01/2015","10,222.56","9,565.92","10,381.58","9,565.92","","6.26%"
"12/01/2014","9,620.11","9,970.51","10,015.50","9,532.27","","-3.56%"
"11/01/2014","9,975.71","10,328.64","10,381.72","9,949.45","","-3.64%"
"10/01/2014","10,352.05","10,050.72","10,364.56","9,967.84","","2.69%"
"09/01/2014","10,080.80","9,543.56","10,080.80","9,517.70","","5.62%"
"08/01/2014","9,544.69","9,284.08","9,579.05","9,272.66","","2.29%"
"07/01/2014","9,331.09","9,195.41","9,339.29","9,171.58","","1.13%"
"06/01/2014","9,226.63","9,495.53","9,511.60","9,184.92","","-2.82%"
"05/01/2014","9,494.79","9,458.50","9,503.85","9,330.82","","0.24%"
"04/01/2014","9,471.64","9,508.48","9,600.22","9,456.49","","-0.50%"
"03/01/2014","9,519.21","9,405.73","9,648.36","9,402.78","","0.81%"
"02/01/2014","9,442.36","9,126.60","9,442.36","9,081.57","","3.52%"
